Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude,Region
ATL,0.008297506448839208,0.5526770293609672,0.018998272884283247,0.42910824813589593,0.5263157894736842,56.48515625,0.25,0.5,0.25,0.25,0.25,0.25,1.75,ATL,Hartsfield - Jackson Atlanta International Airport,Georgia,33.6367,-84.42786,South
AUS,0.004438950988822012,0.4891041162227603,0.025020177562550445,0.360459735831173,0.5111111111111111,51.886138613861384,0.25,0.5,0.25,0.25,0.25,0.25,1.75,AUS,Austin-Bergstrom International Airport,Texas,30.19453,-97.66988,South
BNA,0.008910146173688736,0.4796944109368717,0.04141535987133092,0.3178891004796118,0.5930232558139535,59.46102263202012,0.25,0.25,0.5,0.25,0.25,0.25,1.75,BNA,Nashville International Airport,Tennessee,36.12447,-86.67818,South
CHS,0.009970621954714818,0.4728710025152713,0.03880704275961193,0.303063393438113,0.5535714285714286,58.047872340425535,0.25,0.25,0.5,0.25,0.25,0.25,1.75,CHS,Charleston Afb/International Airport,South Carolina,32.89864,-80.04053,South
JAX,0.011342791630839783,0.46146557169930513,0.04042956411876184,0.355893223943375,0.48091603053435117,61.12594113620808,0.25,0.25,0.25,0.25,0.25,0.5,1.75,JAX,Jacksonville International Airport,Florida,30.49405,-81.68785,South
