Origin,Yearly_Flights,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
DAL,47828,0.4029020657355524,0.033348666053357866,0.1696770114564504,0.3905325443786982,32.583341982355996,0.75,0.5,1.0,0.75,1.0,4.0,DAL,Dallas Love Field,32.847099,-96.851799
PHL,45676,0.3428277432349593,0.02187144233295385,0.3804664199149619,0.2889016018306636,43.63414011111821,1.0,0.75,0.5,1.0,0.75,4.0,PHL,Philadelphia International Airport,39.871899,-75.241096
HNL,39931,0.4807543011695174,0.010242668603340763,0.12147480225279662,0.45471817606079795,24.497317289159763,0.5,1.0,1.0,0.5,1.0,4.0,HNL,Daniel K Inouye International Airport,21.32062,-157.924228
STL,35085,0.3946700869317372,0.025708992446914637,0.2139935402261243,0.35294117647058826,36.894200909944395,0.75,0.75,1.0,0.75,0.75,4.0,STL,St. Louis Lambert International Airport,38.748697,-90.370003
HOU,34853,0.39284996987346854,0.024560296100766075,0.19193433240867724,0.3727338651196519,29.96048787613205,0.75,0.75,1.0,0.75,1.0,4.25,HOU,William P Hobby Airport,29.645399,-95.2789
SMF,32976,0.36957180980106746,0.024229742843279962,0.2016870802730091,0.3574660633484163,31.28029867892016,0.75,0.75,1.0,0.75,1.0,4.25,SMF,Sacramento International Airport,38.6954,-121.591003
SJC,32070,0.37227938883691924,0.024290614281259743,0.18540283797232376,0.3383878691141261,30.30521819247843,0.75,0.75,1.0,0.75,1.0,4.25,SJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
MSY,31993,0.362798112087019,0.022848748163660802,0.28047362496026257,0.3800335570469799,39.61945377789265,0.75,0.75,0.75,0.75,0.75,3.75,MSY,Louis Armstrong New Orleans International Airport,29.993401,-90.258003
OAK,31988,0.41171689383518817,0.02047642866074778,0.16557293213340316,0.37559055118110235,29.534472285497344,0.75,1.0,1.0,0.75,1.0,4.5,OAK,San Francisco Bay Oakland International Airport,37.720085,-122.221184
PDX,31508,0.33480385933731116,0.024438237907832932,0.3263408884517298,0.3544093178036606,34.523746326666036,1.0,0.75,0.75,0.75,1.0,4.25,PDX,Portland International Airport,45.588699,-122.598
SNA,30284,0.4032162197860256,0.026119402985074626,0.2453428342612738,0.41455160744500846,35.68266317254934,0.75,0.75,1.0,0.75,0.75,4.0,SNA,John Wayne Orange County International Airport,33.675701,-117.867996
RDU,27145,0.35442991342788727,0.024203352366918403,0.3088606411872675,0.3237051792828685,46.56387069951148,1.0,0.75,0.75,1.0,0.5,4.0,RDU,Raleigh Durham International Airport,35.877602,-78.787498
IAD,26613,0.3394581595460865,0.015593882688911435,0.3816312795906631,0.3230769230769231,43.312264777507195,1.0,1.0,0.5,1.0,0.75,4.25,IAD,Washington Dulles International Airport,38.9445,-77.455803
MCI,25992,0.3417590027700831,0.024815327793167127,0.27273392963610377,0.31354166666666666,37.40312957334234,1.0,0.75,0.75,1.0,0.75,4.25,MCI,Kansas City International Airport,39.2976,-94.713898
SAT,23765,0.32737218598779716,0.02116557963391542,0.26461303248545026,0.31334841628959276,39.538046272493574,1.0,1.0,0.75,1.0,0.75,4.5,SAT,San Antonio International Airport,29.533701,-98.469803
RSW,23074,0.3415099245904481,0.05486694981364306,0.32883486628407765,0.32984901277584205,51.80786802030457,1.0,0.5,0.75,1.0,0.5,3.75,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031
OGG,21382,0.4923299971939014,0.013001590122532972,0.1457616434861533,0.4671361502347418,29.237674551154175,0.5,1.0,1.0,0.5,1.0,4.0,OGG,Kahului International Airport,20.896263,-156.431837
SJU,21137,0.4150541704120736,0.02597341155320055,0.2787175307322923,0.45539906103286387,49.25270716972529,0.5,0.75,0.75,0.5,0.5,3.0,SJU,Luis Munoz Marin International Airport,18.4394,-66.001801
BUR,19538,0.40521035929982596,0.03848909816767325,0.26435146749623417,0.42248062015503873,30.790198307439688,0.75,0.5,0.75,0.5,1.0,3.5,BUR,Hollywood Burbank Airport,34.197703,-118.356378
CLE,18301,0.3152286760286323,0.025299163980110378,0.3513205014650446,0.26734104046242774,42.97815912636506,1.0,0.75,0.5,1.0,0.75,4.0,CLE,Cleveland Hopkins International Airport,41.411701,-81.8498
PBI,17340,0.4196078431372549,0.03264129181084199,0.30844713680093855,0.44661654135338347,51.867234744365035,0.5,0.5,0.75,0.5,0.5,2.75,PBI,Palm Beach International Airport,26.683201,-80.095596
IND,16703,0.37322636652098423,0.027539962880919595,0.3279417492243671,0.3368580060422961,41.47722168752005,0.75,0.5,0.75,1.0,0.75,3.75,IND,Indianapolis International Airport,39.7173,-86.294403
PIT,16694,0.35006589193722293,0.02527854318916976,0.3760123104892441,0.3446601941747573,40.46406570841889,1.0,0.75,0.5,0.75,0.75,3.75,PIT,Pittsburgh International Airport,40.491501,-80.232903
