Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
DTW,0.0020377779436888174,0.3620689655172414,0.028017241379310345,0.21945574697809248,0.5,32.404761904761905,0.5,0.5,0.5,0.25,1.0,0.25,3.0,DTW,Detroit Metro Wayne County Airport,Michigan,42.21244,-83.35339
ELP,0.001532725220576287,0.30659025787965616,0.017191977077363897,0.2949916732999947,0.3076923076923077,35.52336448598131,1.0,0.5,0.5,0.5,1.0,0.0,3.5,ELP,El Paso International Airport,Texas,31.80733,-106.37636
EUG,0.00011857759586120273,0.2962962962962963,0.0,0.045454545454545456,0.0,12.75,1.0,1.0,1.0,1.0,1.0,0.0,5.0,EUG,Mahlon Sweet Field,Oregon,44.12458,-123.21197
EWR,0.01599040839002367,0.4636088986542159,0.03048613018401538,0.11053837544936353,0.30597014925373134,45.747037914691944,0.25,0.25,1.0,0.5,0.5,0.5,3.0,EWR,Newark Liberty International Airport,New Jersey,40.69248,-74.16869
FAI,0.011642563208446238,0.3824971708789136,0.01886080724254998,0.19764741887344023,0.3761467889908257,22.669625246548325,0.5,0.5,1.0,0.5,1.0,0.5,4.0,FAI,Fairbanks International Airport,Alaska,64.81536,-147.85667
FAT,0.0014668487784311745,0.3383233532934132,0.03293413173652695,0.11695858332052429,0.26666666666666666,28.63716814159292,0.5,0.25,1.0,1.0,1.0,0.0,3.75,FAT,Fresno Yosemite International Airport,California,36.77656,-119.71883
FLL,0.003961370054326106,0.4878048780487805,0.0598669623059867,0.22430201681797923,0.45,42.268181818181816,0.25,0.25,0.5,0.25,0.5,0.25,2.0,FLL,Fort Lauderdale/Hollywood International Airport,Florida,26.07167,-80.14969
GEG,0.0101186215134893,0.3893229166666667,0.019965277777777776,0.31558524949947725,0.4375,29.150501672240804,0.5,0.5,0.5,0.25,1.0,0.5,3.25,GEG,Spokane International Airport,Washington,47.61903,-117.53522
HNL,0.014571869002498914,0.43037974683544306,0.018685955394816153,0.22837460872821086,0.43548387096774194,36.22408963585434,0.5,0.5,0.5,0.25,1.0,0.5,3.25,HNL,Daniel K Inouye International Airport,Hawaii,21.31782,-157.92023
IAD,0.006201169087259936,0.43626062322946174,0.02762039660056657,0.24936689524568384,0.25,39.67857142857143,0.5,0.5,0.5,1.0,0.5,0.25,3.25,IAD,Washington Dulles International Airport,Dist. Of Columbia,38.9,-77.5
