Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
PSC,0.0027364958297550254,0.6914893617021277,0.031914893617021274,0.16656855780717703,0.38461538461538464,61.66923076923077,0.25,0.25,1.0,0.5,0.25,0.25,2.5,PSC,Tri-Cities Airport,Washington,46.26468,-119.11902
PSM,0.0005967889841487023,0.5121951219512195,0.024390243902439025,0.259680253291756,1.0,26.761904761904763,0.25,0.5,0.5,0.25,1.0,0.0,2.5,PSM,Portsmouth International At Pease Airport,New Hampshire,43.07794,-70.82328
PSP,7.277914440837834e-05,0.8,0.0,0.0,0.0,30.75,0.25,1.0,1.0,1.0,1.0,0.0,4.25,PSP,Palm Springs International Airport,California,33.82967,-116.50669
PVD,0.0012518012838241073,0.6395348837209303,0.023255813953488372,0.32720631468607814,0.0,31.69090909090909,0.25,0.5,0.25,1.0,1.0,0.0,3.0,PVD,Rhode Island Tf Green International Airport,Rhode Island,41.72233,-71.42772
PVU,0.011630107276458858,0.609511889862328,0.023779724655819776,0.18632919820603594,0.6052631578947368,35.24024640657084,0.25,0.5,1.0,0.25,1.0,0.5,3.5,PVU,Provo Municipal Airport,Utah,40.21917,-111.72336
RAP,0.0016739203213927017,0.7478260869565218,0.017391304347826087,0.19552244651368625,0.5,61.55813953488372,0.25,0.5,1.0,0.25,0.25,0.0,2.25,RAP,Rapid City Regional Airport,South Dakota,44.04533,-103.05736
RDM,0.00020378160434345933,0.5,0.0,0.5273809523809524,0.0,29.285714285714285,0.25,1.0,0.25,1.0,1.0,0.0,3.5,RDM,Roberts Field,Oregon,44.25407,-121.14997
RDU,0.0005385656686219996,0.8648648648648649,0.08108108108108109,0.25660277591756747,0.0,71.71875,0.25,0.25,0.5,1.0,0.25,0.0,2.25,RDU,Raleigh-Durham International Airport,North Carolina,35.87764,-78.78747
RFD,0.002416267594358161,0.5421686746987951,0.018072289156626505,0.20737861278316277,0.42857142857142855,46.48888888888889,0.25,0.5,0.5,0.5,0.5,0.25,2.5,RFD,Chicago/Rockford International Airport,Illinois,42.19536,-89.09722
RIC,0.0047306443865445915,0.6553846153846153,0.03076923076923077,0.27602664276919436,0.6666666666666666,41.68075117370892,0.25,0.25,0.5,0.25,0.5,0.25,2.0,RIC,Richmond International Airport,Virginia,37.50518,-77.31974
RNO,0.0021688185033696744,0.7516778523489933,0.020134228187919462,0.19083827286271043,0.0,44.776785714285715,0.25,0.5,1.0,1.0,0.5,0.25,3.5,RNO,Reno/Tahoe International Airport,Nevada,39.49911,-119.76811
ROA,0.0006986797863204321,0.22916666666666666,0.020833333333333332,0.26615755292337273,0.0,119.54545454545455,1.0,0.5,0.5,1.0,0.25,0.0,3.25,ROA,Roanoke/Blacksburg Regional (Woodrum Field) Airport,Virginia,37.32547,-79.97542
