Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude,Region
PBI,0.005385737814768194,0.5848837209302326,0.05,0.2706611465267683,0.6571428571428571,56.1013916500994,0.25,0.25,0.5,0.25,0.25,0.25,1.75,PBI,Palm Beach International Airport,Florida,26.68316,-80.09559,South
ATL,0.05356930379945015,0.5507364975450082,0.024900631283610006,0.4298772188603529,0.5472779369627507,55.981744852472936,0.25,0.5,0.25,0.25,0.25,0.5,2.0,ATL,Hartsfield - Jackson Atlanta International Airport,Georgia,33.6367,-84.42786,South
MIA,0.018587057946781397,0.465633423180593,0.017857142857142856,0.36943139212502873,0.43243243243243246,51.937047756874094,0.25,0.5,0.25,0.25,0.25,0.5,2.0,MIA,Miami International Airport,Florida,25.79536,-80.29012,South
FLL,0.013664744083516511,0.5384967919340055,0.038038496791934,0.3096005597560633,0.5652173913043478,58.38808510638298,0.25,0.25,0.5,0.25,0.25,0.5,2.0,FLL,Fort Lauderdale/Hollywood International Airport,Florida,26.07167,-80.14969,South
MCO,0.11672647340635392,0.5486882343473363,0.0322442191104673,0.41070785753779904,0.5128552097428958,50.63391023760634,0.25,0.25,0.25,0.25,0.5,0.5,2.0,MCO,Orlando International Airport,Florida,28.42939,-81.309,South
