,ArrDelayBlk,ANext_5,count,rollingSum,cumSum
150,650.0,30.217582417582413,91,6889308,6889308
151,655.0,15.268571428571427,105,6889413,6889413
152,660.0,10.2,87,6889500,6889500
153,665.0,30.78651685393258,89,6889589,6889589
154,670.0,26.948235294117644,85,6889674,6889674
155,675.0,30.98260869565217,92,6889766,6889766
156,680.0,12.986813186813187,91,6889857,6889857
157,685.0,20.397560975609753,82,6889939,6889939
158,690.0,19.27857142857143,84,6890023,6890023
159,695.0,22.58481012658228,79,6890102,6890102
160,700.0,20.277272727272727,88,6890190,6890190
161,705.0,15.383098591549299,71,6890261,6890261
162,710.0,34.847311827957,93,6890354,6890354
163,715.0,16.878160919540232,87,6890441,6890441
164,720.0,13.395180722891565,83,6890524,6890524
165,725.0,15.2629213483146,89,6890613,6890613
166,730.0,22.665979381443297,97,6890710,6890710
167,735.0,18.156962025316453,80,6890790,6890790
168,740.0,23.698901098901096,91,6890881,6890881
169,745.0,34.114285714285714,98,6890979,6890979
170,750.0,10.629885057471265,87,6891066,6891066
