Origin,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
PHX,0.24566304028226993,0.017494854454572186,0.2191787269416859,0.30078125,38.59844404548175,0.75,0.75,1.0,0.75,1.0,4.25,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
PIT,0.25994865211810014,0.01668806161745828,0.3006832241158348,0.2830188679245283,32.382716049382715,0.75,0.75,0.75,0.75,1.0,4.0,PIT,Pittsburgh International Airport,40.491501,-80.232903
PNS,0.17768344451182536,0.011522134627046696,0.23760228677608816,0.2413793103448276,65.38566552901024,1.0,0.75,0.75,0.75,0.5,3.75,,,,
PSC,0.15584415584415584,0.0,0.014391447368421052,0.6666666666666666,37.0,1.0,1.0,1.0,0.5,1.0,4.5,,,,
PSP,0.28883495145631066,0.019417475728155338,0.3379070125882541,0.3684210526315789,32.46218487394958,0.75,0.75,0.75,0.5,1.0,3.75,,,,
PVD,0.34312573443008226,0.01645123384253819,0.3173689705797736,0.1935483870967742,27.96232876712329,0.5,0.75,0.75,1.0,1.0,4.0,,,,
PWM,0.35081148564294634,0.012484394506866416,0.2190462121139809,0.27586206896551724,58.04270462633452,0.5,0.75,1.0,0.75,0.5,3.5,,,,
RDU,0.2949875670723727,0.01662086114382934,0.2916093148446487,0.2899628252788104,44.77329192546584,0.75,0.75,0.75,0.75,0.75,3.75,RDU,Raleigh Durham International Airport,35.877602,-78.787498
RIC,0.24447031431897556,0.013969732246798603,0.2538898848276564,0.28125,37.41904761904762,0.75,0.75,0.75,0.75,1.0,4.0,,,,
RNO,0.42048517520215634,0.016172506738544475,0.360795954038734,0.3333333333333333,42.166666666666664,0.5,0.75,0.5,0.75,0.75,3.25,RNO,Reno Tahoe International Airport,39.4991,-119.767998
ROA,0.35074626865671643,0.007462686567164179,0.2756131272313443,0.5833333333333334,45.54255319148936,0.5,1.0,0.75,0.5,0.75,3.5,,,,
ROC,0.27099236641221375,0.02544529262086514,0.25982784249404556,0.2857142857142857,56.737089201877936,0.75,0.5,0.75,0.75,0.5,3.25,,,,
RST,0.20192307692307693,0.09615384615384616,0.5607429709326894,0.16666666666666666,74.66666666666667,1.0,0.5,0.5,1.0,0.5,3.5,,,,
RSW,0.2541683611224075,0.03863359089060594,0.34689340641890853,0.3160919540229885,48.5272,0.75,0.5,0.75,0.75,0.75,3.5,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031
SAN,0.2906427990235964,0.015459723352318959,0.32021549039985264,0.3047619047619048,42.69708846584547,0.75,0.75,0.75,0.75,0.75,3.75,SAN,San Diego International Airport,32.7336006165,-117.190002441
SAT,0.2857142857142857,0.01109846328969835,0.236000269726121,0.26229508196721313,39.18326693227092,0.75,0.75,0.75,0.75,0.75,3.75,SAT,San Antonio International Airport,29.533701,-98.469803
SAV,0.27800616649537513,0.022610483042137718,0.1993798656813295,0.30303030303030304,41.75415896487985,0.75,0.5,1.0,0.75,0.75,3.75,,,,
SDF,0.15617577197149643,0.008907363420427554,0.30312198040829924,0.10714285714285714,43.98479087452471,1.0,1.0,0.75,1.0,0.75,4.5,,,,
SEA,0.34413731817969223,0.019737149805902438,0.3415851425111298,0.3866498740554156,39.34914378907312,0.5,0.75,0.75,0.5,0.75,3.25,SEA,Seattle–Tacoma International Airport,47.447943,-122.310276
SFO,0.25735933424419327,0.018134393243075395,0.2543182083947174,0.2727272727272727,38.048745173745175,0.75,0.75,0.75,0.75,1.0,4.0,SFO,San Francisco International Airport,37.619806,-122.374821
SGF,0.23986486486486486,0.006756756756756757,0.22020061177366754,0.1,58.87323943661972,0.75,1.0,1.0,1.0,0.5,4.25,,,,
SJC,0.19977616116396194,0.01119194180190263,0.1572737418268141,0.1780821917808219,47.94677871148459,1.0,0.75,1.0,1.0,0.75,4.5,SJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
SJU,0.29482874412357285,0.01544660846205507,0.44950848998431137,0.39705882352941174,40.159453302961275,0.75,0.75,0.5,0.5,0.75,3.25,SJU,Luis Munoz Marin International Airport,18.4394,-66.001801
SLC,0.34570805600183613,0.014602937801239385,0.3320295646474926,0.4080645161290323,36.77551867219917,0.5,0.75,0.75,0.5,1.0,3.5,SLC,Salt Lake City International Airport,40.78886,-111.979866
